City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
693,Labytnangi,RU,66.6572,66.4183,37.27,73,100,18.95,overcast clouds
694,Foki,RU,56.693,54.3499,39.69,91,100,6.22,overcast clouds
695,Kidal,ML,18.4411,1.4078,102.42,5,1,15.08,clear sky
696,Kieta,PG,-6.2167,155.6333,78.67,83,10,2.1,clear sky
697,Sal Rei,CV,16.1833,-22.9167,77.2,69,40,19.57,scattered clouds
698,Mayya,RU,61.7333,130.2811,42.12,93,100,6.49,light rain
699,Menongue,AO,-14.6585,17.691,65.23,44,0,1.45,clear sky
700,Balestrand,NO,61.2076,6.5334,62.98,63,96,4.43,overcast clouds
701,Octeville,FR,49.6261,-1.6435,59.49,72,0,8.05,clear sky
702,Sebinkarahisar,TR,40.2883,38.4236,38.79,88,100,3.58,overcast clouds
703,Beringovskiy,RU,63.05,179.3167,34.72,93,100,1.57,overcast clouds
704,Muromtsevo,RU,56.3724,75.2418,53.6,61,25,15.68,scattered clouds
705,Lorut,AM,40.9372,44.7714,49.14,90,51,1.25,broken clouds
