City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
20,San Jose,US,2022-05-10 00:27:12,37.3394,-121.895,61.99,40,40,16.11
21,Nikolskoye,RU,2022-05-10 00:25:54,59.7035,30.7861,40.8,76,18,4.09
22,Otane,NZ,2022-05-10 00:31:58,-39.8833,176.6333,58.01,87,100,12.15
23,Chuy,UY,2022-05-10 00:31:58,-33.6971,-53.4616,60.24,95,100,3.42
24,Fortuna,US,2022-05-10 00:24:33,40.5982,-124.1573,54.93,81,20,6.91
25,Georgetown,MY,2022-05-10 00:24:43,5.4112,100.3354,84.13,93,20,3.44
26,Severo-Kurilsk,RU,2022-05-10 00:23:58,50.6789,156.125,39.22,83,85,17.18
27,Pacific Grove,US,2022-05-10 00:28:27,36.6177,-121.9166,60.55,59,0,13.8
28,Wanning,CN,2022-05-10 00:32:00,18.8003,110.3967,82.8,79,87,7.25
29,Constitucion,CL,2022-05-10 00:32:01,-35.3333,-72.4167,54.91,93,100,8.19
30,Cockburn Town,TC,2022-05-10 00:32:01,21.4612,-71.1419,80.56,78,40,2.3
31,Qaanaaq,GL,2022-05-10 00:24:17,77.484,-69.3632,17.01,66,28,6.08
32,Penzance,GB,2022-05-10 00:32:02,50.1186,-5.5371,56.08,92,100,17.36
33,Saldanha,ZA,2022-05-10 00:32:03,-33.0117,17.9442,46.45,81,100,4.47
34,Bathsheba,BB,2022-05-10 00:27:11,13.2167,-59.5167,81.21,74,40,11.5
35,Grindavik,IS,2022-05-10 00:32:04,63.8424,-22.4338,41.47,81,0,19.57
36,Kruisfontein,ZA,2022-05-10 00:23:08,-34.0033,24.7314,53.94,69,63,4.07
37,Bluff,NZ,2022-05-10 00:22:58,-46.6,168.3333,53.8,64,75,3.83
38,Kodiak,US,2022-05-10 00:28:47,57.79,-152.4072,47.71,43,40,19.57
39,Hobart,AU,2022-05-10 00:22:18,-42.8794,147.3294,57.25,74,20,8.05
40,Mataura,NZ,2022-05-10 00:32:05,-46.1927,168.8643,53.47,76,64,2.48
41,Rikitea,PF,2022-05-10 00:32:06,-23.1203,-134.9692,76.69,70,41,11.03
42,Leh,IN,2022-05-10 00:32:07,34.1667,77.5833,45.46,43,7,4.29
43,Rutana,BI,2022-05-10 00:32:08,-3.8667,30.1,56.14,90,100,3.76
44,Jamestown,US,2022-05-10 00:22:16,42.097,-79.2353,71.24,16,0,8.05
45,Busselton,AU,2022-05-10 00:33:08,-33.65,115.3333,61.45,77,2,1.52
46,Phek,IN,2022-05-10 00:33:09,25.6667,94.5,60.19,95,100,0.36
47,Puerto Ayora,EC,2022-05-10 00:21:50,-0.7393,-90.3518,72.55,97,38,6.91
48,Thompson,CA,2022-05-10 00:24:27,55.7435,-97.8558,62.76,51,75,5.75
49,Hornepayne,CA,2022-05-10 00:33:10,49.2138,-84.7705,61.97,35,100,18.72
50,Lulea,SE,2022-05-10 00:33:11,65.5842,22.1547,42.87,81,0,6.91
51,Kjollefjord,NO,2022-05-10 00:33:11,70.9457,27.3465,33.85,95,100,2.46
52,Tevaitoa,PF,2022-05-10 00:33:12,-16.7833,-151.5,82.06,75,21,14.23
53,Xining,CN,2022-05-10 00:30:20,36.6167,101.7667,55.81,52,100,2.53
54,Nome,US,2022-05-10 00:33:13,64.5011,-165.4064,35.17,75,40,24.16
55,Sisimiut,GL,2022-05-10 00:33:13,66.9395,-53.6735,26.35,80,58,10.22
56,Chunoyar,RU,2022-05-10 00:33:14,57.4467,97.3217,37.98,39,11,3.44
57,Hasaki,JP,2022-05-10 00:33:14,35.7333,140.8333,63.28,68,100,17.43
58,Hamilton,US,2022-05-10 00:24:37,39.1834,-84.5333,75.15,50,0,12.66
59,Tigil,RU,2022-05-10 00:33:14,57.8,158.6667,37.26,99,100,3.96
60,Balclutha,NZ,2022-05-10 00:33:15,-46.2339,169.75,52.3,63,44,2.82
61,Port Blair,IN,2022-05-10 00:33:16,11.6667,92.75,82.44,83,40,5.75
62,Plettenberg Bay,ZA,2022-05-10 00:33:17,-34.0527,23.3716,56.61,74,55,3.13
63,Mahebourg,MU,2022-05-10 00:33:17,-20.4081,57.7,73.69,94,40,3.44
64,Kamyshlov,RU,2022-05-10 00:32:27,56.8428,62.7111,49.86,48,63,11.1
65,Tautira,PF,2022-05-10 00:33:18,-17.7333,-149.15,81.14,78,27,14.32
66,Waspan,NI,2022-05-10 00:33:19,14.7419,-83.9717,78.94,78,100,7.4
67,Bredasdorp,ZA,2022-05-10 00:33:19,-34.5322,20.0403,52.07,83,98,4.12
